time_boot_ms,time_boot_s,luminosity
590620,590.62,0
590760,590.76,0
590900,590.9,0
591030,591.03,0
591160,591.16,0
591300,591.3,0
591430,591.43,0
591570,591.57,0
591700,591.7,0
591830,591.83,0
591990,591.99,0
592120,592.12,0
592260,592.26,0
592390,592.39,0
592520,592.52,0
592650,592.65,0
592790,592.79,0
592920,592.92,0
593050,593.05,0
593180,593.18,0
593320,593.32,0
593450,593.45,0
593600,593.6,0
593730,593.73,0
593860,593.86,0
593990,593.99,0
594120,594.12,0
594250,594.25,0
594380,594.38,0
594510,594.51,0
594640,594.64,0
594770,594.77,0
594910,594.91,0
595050,595.05,0
595180,595.18,0
595320,595.32,0
595450,595.45,0
595610,595.61,0
595740,595.74,0
595870,595.87,0
596010,596.01,0
596140,596.14,0
596280,596.28,0
596410,596.41,0
596540,596.54,0
596670,596.67,0
596800,596.8,0
596930,596.93,0
597070,597.07,0
597200,597.2,0
597330,597.33,0
597460,597.46,0
597600,597.6,0
597730,597.73,0
597870,597.87,0
598000,598,0
598130,598.13,0
598260,598.26,0
598390,598.39,0
598520,598.52,0
598650,598.65,0
598780,598.78,0
598920,598.92,0
599050,599.05,0
599210,599.21,0
599340,599.34,0
599470,599.47,0
599600,599.6,0
599730,599.73,0
599860,599.86,0
599990,599.99,0
600180,600.18,0
600320,600.32,0
600450,600.45,0
600590,600.59,0
600730,600.73,0
600860,600.86,0
600990,600.99,0
601190,601.19,0
601320,601.32,0
601460,601.46,0
601590,601.59,0
601730,601.73,0
601860,601.86,0
601990,601.99,0
602190,602.19,0
602320,602.32,0
602450,602.45,0
602600,602.6,0
602730,602.73,0
602860,602.86,0
603010,603.01,0
603150,603.15,0
603280,603.28,0
603410,603.41,0
603540,603.54,0
603670,603.67,0
603800,603.8,0
603930,603.93,0
604070,604.07,0
604200,604.2,0
604330,604.33,0
604470,604.47,0
604600,604.6,0
604730,604.73,0
604870,604.87,0
605000,605,0
605130,605.13,0
605260,605.26,0
605390,605.39,0
605530,605.53,0
605670,605.67,0
605810,605.81,0
605940,605.94,0
606090,606.09,0
