time_boot_ms,,press_abs,press_diff,temperature,temperature_c
621310,621.31,994.01025390625,1.10373345771153E-19,3067,30.67
621440,621.44,994.013305664063,1.10373345771153E-19,3067,30.67
621590,621.59,994.003112792969,1.10373345771153E-19,3067,30.67
621720,621.72,994.023132324219,1.10373345771153E-19,3067,30.67
621850,621.85,994.006469726562,1.10373345771153E-19,3067,30.67
621990,621.99,994.000366210937,1.10373345771153E-19,3067,30.67
622120,622.12,993.992553710937,1.10373345771153E-19,3067,30.67
622250,622.25,993.979675292969,1.10373345771153E-19,3067,30.67
622380,622.38,993.985412597656,1.10373345771153E-19,3066,30.66
622510,622.51,993.959228515625,1.10373345771153E-19,3067,30.67
622640,622.64,993.943298339844,1.10373345771153E-19,3068,30.68
622770,622.77,993.945983886719,1.10373345771153E-19,3067,30.67
622900,622.9,993.997375488281,1.10373345771153E-19,3068,30.68
623030,623.03,994.01806640625,1.10373345771153E-19,3068,30.68
623160,623.16,993.952819824219,1.10373345771153E-19,3067,30.67
623300,623.3,993.981018066406,1.10373345771153E-19,3068,30.68
623430,623.43,994.011962890625,1.10373345771153E-19,3068,30.68
623570,623.57,993.984802246094,1.10373345771153E-19,3068,30.68
623700,623.7,993.967102050781,1.10373345771153E-19,3068,30.68
623830,623.83,993.950805664062,1.10373345771153E-19,3068,30.68
623960,623.96,993.992980957031,1.10373345771153E-19,3069,30.69
624100,624.1,994.033447265625,1.10373345771153E-19,3069,30.69
624230,624.23,993.985168457031,1.10373345771153E-19,3069,30.69
624360,624.36,993.976013183594,1.10373345771153E-19,3069,30.69
624490,624.49,994.003173828125,1.10373345771153E-19,3069,30.69
624660,624.66,993.983825683594,1.10373345771153E-19,3070,30.7
624790,624.79,993.994384765625,1.10373345771153E-19,3070,30.7
624920,624.92,993.963806152344,1.10373345771153E-19,3070,30.7
625050,625.05,993.963073730469,1.10373345771153E-19,3070,30.7
625180,625.18,993.984497070313,1.10373345771153E-19,3071,30.71
625320,625.32,993.971252441406,1.10373345771153E-19,3071,30.71
625450,625.45,994.005615234375,1.10373345771153E-19,3071,30.71
625590,625.59,993.971252441406,1.10373345771153E-19,3071,30.71
625720,625.72,993.981811523438,1.10373345771153E-19,3071,30.71
625850,625.85,993.978088378906,1.10373345771153E-19,3071,30.71
625990,625.99,993.954956054687,1.10373345771153E-19,3071,30.71
626120,626.12,993.968200683594,1.10373345771153E-19,3071,30.71
626250,626.25,993.992370605469,1.10373345771153E-19,3071,30.71
626380,626.38,994.002563476563,1.10373345771153E-19,3071,30.71
626510,626.51,993.978759765625,1.10373345771153E-19,3071,30.71
626640,626.64,993.975341796875,1.10373345771153E-19,3071,30.71
626770,626.77,993.965881347656,1.10373345771153E-19,3072,30.72
626900,626.9,993.965148925781,1.10373345771153E-19,3071,30.71
627030,627.03,993.97265625,1.10373345771153E-19,3072,30.72
627170,627.17,993.989990234375,1.10373345771153E-19,3072,30.72
627310,627.31,993.992736816406,1.10373345771153E-19,3072,30.72
627440,627.44,993.979125976563,1.10373345771153E-19,3072,30.72
627590,627.59,993.965881347656,1.10373345771153E-19,3072,30.72
627720,627.72,993.969970703125,1.10373345771153E-19,3073,30.73
627850,627.85,993.962829589844,1.10373345771153E-19,3072,30.72
627980,627.98,993.963134765625,1.10373345771153E-19,3073,30.73
628130,628.13,993.980529785156,1.10373345771153E-19,3073,30.73
628280,628.28,993.943115234375,1.10373345771153E-19,3073,30.73
628410,628.41,993.980834960938,1.10373345771153E-19,3073,30.73
628540,628.54,993.96044921875,1.10373345771153E-19,3073,30.73
628690,628.69,993.946166992188,1.10373345771153E-19,3073,30.73
628830,628.83,993.977478027344,1.10373345771153E-19,3073,30.73
628970,628.97,993.96044921875,1.10373345771153E-19,3073,30.73
629100,629.1,993.991027832031,1.10373345771153E-19,3073,30.73
629230,629.23,993.970336914063,1.10373345771153E-19,3073,30.73
629360,629.36,993.960815429688,1.10373345771153E-19,3073,30.73
629490,629.49,993.953979492188,1.10373345771153E-19,3073,30.73
629620,629.62,993.953674316406,1.10373345771153E-19,3073,30.73
629760,629.76,993.981201171875,1.10373345771153E-19,3073,30.73
629900,629.9,993.968627929688,1.10373345771153E-19,3074,30.74
630040,630.04,993.968322753906,1.10373345771153E-19,3074,30.74
630170,630.17,993.985656738281,1.10373345771153E-19,3074,30.74
630300,630.3,993.989379882813,1.10373345771153E-19,3074,30.74
630430,630.43,993.975463867188,1.10373345771153E-19,3074,30.74
630570,630.57,993.979858398438,1.10373345771153E-19,3075,30.75
630700,630.7,993.966979980469,1.10373345771153E-19,3075,30.75
630830,630.83,993.980224609375,1.10373345771153E-19,3075,30.75
630960,630.96,994.00439453125,1.10373345771153E-19,3075,30.75
631090,631.09,993.973083496094,1.10373345771153E-19,3075,30.75
631220,631.22,993.956420898438,1.10373345771153E-19,3075,30.75
631360,631.36,993.955749511719,1.10373345771153E-19,3075,30.75
631490,631.49,993.97412109375,1.10373345771153E-19,3076,30.76
631620,631.62,993.976501464844,1.10373345771153E-19,3075,30.75
631770,631.77,993.963256835938,1.10373345771153E-19,3075,30.75
631900,631.9,993.968383789063,1.10373345771153E-19,3076,30.76
632030,632.03,993.954406738281,1.10373345771153E-19,3076,30.76
632160,632.16,993.951049804688,1.10373345771153E-19,3076,30.76
632290,632.29,993.95068359375,1.10373345771153E-19,3076,30.76
632420,632.42,993.951721191406,1.10373345771153E-19,3077,30.77
632550,632.55,994.022399902344,1.10373345771153E-19,3076,30.76
632690,632.69,993.952087402344,1.10373345771153E-19,3077,30.77
632820,632.82,993.945251464844,1.10373345771153E-19,3077,30.77
632950,632.95,993.948303222656,1.10373345771153E-19,3077,30.77
633100,633.1,993.993225097656,1.10373345771153E-19,3077,30.77
633230,633.23,993.976196289063,1.10373345771153E-19,3077,30.77
633370,633.37,993.955810546875,1.10373345771153E-19,3077,30.77
633500,633.5,993.97998046875,1.10373345771153E-19,3077,30.77
633630,633.63,993.959899902344,1.10373345771153E-19,3078,30.78
633760,633.76,993.962951660156,1.10373345771153E-19,3077,30.77
633890,633.89,993.9619140625,1.10373345771153E-19,3077,30.77
634030,634.03,993.966735839844,1.10373345771153E-19,3078,30.78
634160,634.16,993.956481933594,1.10373345771153E-19,3078,30.78
634290,634.29,993.967041015625,1.10373345771153E-19,3078,30.78
634430,634.43,993.953796386719,1.10373345771153E-19,3078,30.78
634570,634.57,993.974914550781,1.10373345771153E-19,3079,30.79
634700,634.7,993.98779296875,1.10373345771153E-19,3078,30.78
634830,634.83,994.006164550781,1.10373345771153E-19,3079,30.79
634970,634.97,994.000732421875,1.10373345771153E-19,3078,30.78
635100,635.1,993.998352050781,1.10373345771153E-19,3078,30.78
635230,635.23,993.968078613281,1.10373345771153E-19,3079,30.79
635390,635.39,993.951110839844,1.10373345771153E-19,3079,30.79
635520,635.52,993.97216796875,1.10373345771153E-19,3079,30.79
635650,635.65,993.961303710938,1.10373345771153E-19,3079,30.79
635780,635.78,993.995666503906,1.10373345771153E-19,3079,30.79
635910,635.91,993.986511230469,1.10373345771153E-19,3080,30.8
636040,636.04,993.986145019531,1.10373345771153E-19,3079,30.79
636170,636.17,993.968078613281,1.10373345771153E-19,3079,30.79
636300,636.3,993.9521484375,1.10373345771153E-19,3079,30.79
636430,636.43,993.93408203125,1.10373345771153E-19,3079,30.79
637290,637.29,993.997009277344,1.10373345771153E-19,3080,30.8
637420,637.42,993.987548828125,1.10373345771153E-19,3080,30.8
637560,637.56,993.977294921875,1.10373345771153E-19,3080,30.8
637690,637.69,993.994323730469,1.10373345771153E-19,3080,30.8
637820,637.82,993.964050292969,1.10373345771153E-19,3081,30.81
637950,637.95,993.949768066406,1.10373345771153E-19,3080,30.8
638110,638.11,993.960327148437,1.10373345771153E-19,3080,30.8
638240,638.24,993.935852050781,1.10373345771153E-19,3080,30.8
638380,638.38,993.960998535156,1.10373345771153E-19,3081,30.81
638510,638.51,993.935852050781,1.10373345771153E-19,3080,30.8
638640,638.64,993.995361328125,1.10373345771153E-19,3081,30.81
638770,638.77,993.974609375,1.10373345771153E-19,3081,30.81
638900,638.9,993.966796875,1.10373345771153E-19,3080,30.8
639070,639.07,993.967468261719,1.10373345771153E-19,3081,30.81
639200,639.2,993.967834472656,1.10373345771153E-19,3081,30.81
639330,639.33,993.984497070313,1.10373345771153E-19,3081,30.81
639470,639.47,993.988220214844,1.10373345771153E-19,3081,30.81
639600,639.6,993.9814453125,1.10373345771153E-19,3081,30.81
639730,639.73,993.988220214844,1.10373345771153E-19,3081,30.81
639860,639.86,993.974975585937,1.10373345771153E-19,3081,30.81
639990,639.99,993.978393554688,1.10373345771153E-19,3081,30.81
640120,640.12,993.978393554688,1.10373345771153E-19,3081,30.81
640250,640.25,993.98583984375,1.10373345771153E-19,3082,30.82
640380,640.38,993.953186035156,1.10373345771153E-19,3080,30.8
640510,640.51,993.963745117187,1.10373345771153E-19,3080,30.8
640640,640.64,993.9814453125,1.10373345771153E-19,3081,30.81
640780,640.78,993.966796875,1.10373345771153E-19,3080,30.8
640910,640.91,993.974243164062,1.10373345771153E-19,3081,30.81
641040,641.04,993.962707519531,1.10373345771153E-19,3080,30.8
641170,641.17,993.998046875,1.10373345771153E-19,3081,30.81
641300,641.3,993.983764648437,1.10373345771153E-19,3080,30.8
641430,641.43,993.993957519531,1.10373345771153E-19,3080,30.8
641580,641.58,993.959655761719,1.10373345771153E-19,3080,30.8
641710,641.71,993.962341308594,1.10373345771153E-19,3079,30.79
642060,642.06,993.961669921875,1.10373345771153E-19,3079,30.79
642190,642.19,993.954467773438,1.10373345771153E-19,3079,30.79
642330,642.33,993.960632324219,1.10373345771153E-19,3078,30.78
642460,642.46,993.974548339844,1.10373345771153E-19,3078,30.78
642590,642.59,993.936828613281,1.10373345771153E-19,3078,30.78
642740,642.74,993.963989257813,1.10373345771153E-19,3078,30.78
642880,642.88,993.966369628906,1.10373345771153E-19,3077,30.77
643010,643.01,993.939514160156,1.10373345771153E-19,3078,30.78
643140,643.14,993.949340820313,1.10373345771153E-19,3077,30.77
643290,643.29,993.94189453125,1.10373345771153E-19,3077,30.77
643420,643.42,993.94189453125,1.10373345771153E-19,3077,30.77
643550,643.55,993.9384765625,1.10373345771153E-19,3077,30.77
643700,643.7,993.909545898438,1.10373345771153E-19,3076,30.76
643830,643.83,993.973754882813,1.10373345771153E-19,3075,30.75
643960,643.96,993.943176269531,1.10373345771153E-19,3075,30.75
644090,644.09,993.956787109375,1.10373345771153E-19,3075,30.75
644220,644.22,993.9482421875,1.10373345771153E-19,3074,30.74
644350,644.35,993.970397949219,1.10373345771153E-19,3075,30.75
644480,644.48,993.98095703125,1.10373345771153E-19,3076,30.76
644610,644.61,993.966979980469,1.10373345771153E-19,3075,30.75
644740,644.74,993.977172851563,1.10373345771153E-19,3075,30.75
644870,644.87,993.939086914063,1.10373345771153E-19,3075,30.75
645010,645.01,993.95947265625,1.10373345771153E-19,3075,30.75
645140,645.14,993.976135253906,1.10373345771153E-19,3075,30.75
645290,645.29,993.958801269531,1.10373345771153E-19,3074,30.74
645430,645.43,993.968994140625,1.10373345771153E-19,3074,30.74
645560,645.56,993.965270996094,1.10373345771153E-19,3074,30.74
645690,645.69,993.937683105469,1.10373345771153E-19,3074,30.74
645830,645.83,993.968322753906,1.10373345771153E-19,3074,30.74
645960,645.96,993.954345703125,1.10373345771153E-19,3074,30.74
646090,646.09,993.942077636719,1.10373345771153E-19,3072,30.72
646220,646.22,993.969604492188,1.10373345771153E-19,3072,30.72
646360,646.36,993.950866699219,1.10373345771153E-19,3071,30.71
646490,646.49,993.968566894531,1.10373345771153E-19,3071,30.71
646620,646.62,993.976440429688,1.10373345771153E-19,3072,30.72
646750,646.75,993.96484375,1.10373345771153E-19,3071,30.71
646880,646.88,993.954284667969,1.10373345771153E-19,3071,30.71
647010,647.01,993.960388183594,1.10373345771153E-19,3070,30.7
647140,647.14,993.949157714844,1.10373345771153E-19,3070,30.7
647290,647.29,993.987548828125,1.10373345771153E-19,3070,30.7
647420,647.42,993.98583984375,1.10373345771153E-19,3069,30.69
647560,647.56,993.95361328125,1.10373345771153E-19,3070,30.7
647700,647.7,993.979736328125,1.10373345771153E-19,3070,30.7
647830,647.83,993.9443359375,1.10373345771153E-19,3069,30.69
647970,647.97,993.977661132812,1.10373345771153E-19,3068,30.68
648100,648.1,993.988220214844,1.10373345771153E-19,3068,30.68
648240,648.24,993.873352050781,1.10373345771153E-19,3059,30.59
648370,648.37,993.99462890625,1.10373345771153E-19,3068,30.68
648500,648.5,994.004516601563,1.10373345771153E-19,3068,30.68
648630,648.63,993.94189453125,1.10373345771153E-19,3067,30.67
648770,648.77,993.941223144531,1.10373345771153E-19,3066,30.66
